"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"_8.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"bd7ce9a9873aa5a389ad8995bd80a0ed"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_8.fdm"
"_8.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"11433857"	"0"	"bbaa8ddb5b13e8c64fc457b15b61d7a4"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_8.fdt"
"_5.si"	".si"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"543"	"0"	"a3ca8c7e8e0636158b06530a7f71c4d4"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_5.si"
"_6.nvd"	".nvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"59"	"0"	"0c3fba9190cb57cc93d762928fadf2bc"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6.nvd"
"_1.tvm"	".tvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"163"	"0"	"264daac92a3775720d578dc2b6356cfb"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.tvm"
"_1.tvd"	".tvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"8366936"	"0"	"fa7a048c62f03f701cd3f72d6f43e143"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.tvd"
"_5_Lucene84_0.tmd"	".tmd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"63858"	"0"	"f20836faf0f27729083a3fb0a6bcc338"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_5_Lucene84_0.tmd"
"_4_Lucene84_0.tmd"	".tmd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"63828"	"0"	"90162a6754ab8ce7f3a7401819926b35"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4_Lucene84_0.tmd"
"_6.tvx"	".tvx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"152"	"0"	"a1e0ea7d636999c6d358497405452e78"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_6.tvx"
"_7.tvx"	".tvx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"116"	"0"	"9776c0fe52bad0cf9346d69564e40af3"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_7.tvx"
"_0.nvd"	".nvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1668"	"0"	"62f2de92b371d14ae29ba66dd99e7719"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.nvd"
"_1.nvd"	".nvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"957"	"0"	"40cc1dc499b9843ee2e1fd78ec8ef45d"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.nvd"
